Periodo,Mes,Codigo_departamento,Departamento,Codigo_municipio,Municipio,Nombre_comercial,Bandera,Direccion,Producto,Precio,Estado,Dir2,Full_Address,Coords,LAT,LNG
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO BRIO LA HERRADURA,BIOMAX,AVENIDA CIUDAD DE CALI No. 41A-22 SUR,BIODIESEL EXTRA,9350,A,AVENIDA CIUDAD DE CALI No. 41A-22 SUR,"AVENIDA CIUDAD DE CALI No. 41A-22 SUR, Bogota  d.c., Colombia","(4.63056, -74.1673)",4.63056,-74.1673
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO AUTOMOTRIZ TERPEL COLON,TERPEL,AVENIDA CALLE  13 No. 55-34,GASOLINA CORRIENTE OXIGENADA,9060,A,AVENIDA CALLE  13 No. 55-34,"AVENIDA CALLE  13 No. 55-34, Bogota  d.c., Colombia","(4.60304, -74.07949)",4.60304,-74.07949
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO AUTOMOTRIZ TERPEL COLON,TERPEL,AVENIDA CALLE  13 No. 55-34,BIODIESEL EXTRA,9010,A,AVENIDA CALLE  13 No. 55-34,"AVENIDA CALLE  13 No. 55-34, Bogota  d.c., Colombia","(4.60304, -74.07949)",4.60304,-74.07949
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS BIOMAX ORQUIDEAS,BIOMAX,CALLE 161 No.18-30,GASOLINA CORRIENTE OXIGENADA,9122,A,CALLE 161 No.18-30,"CALLE 161 No.18-30, Bogota  d.c., Colombia","(4.74139, -74.0425)",4.74139,-74.0425
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS BIOMAX ORQUIDEAS,BIOMAX,CALLE 161 No.18-30,BIODIESEL EXTRA,9369,A,CALLE 161 No.18-30,"CALLE 161 No.18-30, Bogota  d.c., Colombia","(4.74139, -74.0425)",4.74139,-74.0425
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO AUTOMOTRIZ SAN MARTIN DE TOURS,BIOMAX,CRA 1A NO 41A 34 SUR,BIODIESEL EXTRA,9100,A,CRA 1A NO 41A 34 SUR,"CRA 1A NO 41A 34 SUR, Bogota  d.c., Colombia","(4.55057, -74.09928)",4.55057,-74.09928
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO AUTOMOTRIZ SAN MARTIN DE TOURS,BIOMAX,CRA 1A NO 41A 34 SUR,GASOLINA CORRIENTE OXIGENADA,9350,A,CRA 1A NO 41A 34 SUR,"CRA 1A NO 41A 34 SUR, Bogota  d.c., Colombia","(4.55057, -74.09928)",4.55057,-74.09928
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO GNVERDE CARACAS 41 S,BIOMAX,CARRERA 14 No. 38-92 SUR,GASOLINA CORRIENTE OXIGENADA,9369,A,CARRERA 14 No. 38-92 SUR,"CARRERA 14 No. 38-92 SUR, Bogota  d.c., Colombia","(4.59151, -74.12247)",4.59151,-74.12247
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO GNVERDE CARACAS 41 S,BIOMAX,CARRERA 14 No. 38-92 SUR,BIODIESEL EXTRA,9189,A,CARRERA 14 No. 38-92 SUR,"CARRERA 14 No. 38-92 SUR, Bogota  d.c., Colombia","(4.59151, -74.12247)",4.59151,-74.12247
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO CALLE 190,TERPEL,CARRERA 7 No.190-50,BIODIESEL EXTRA,9190,A,CARRERA 7 No.190-50,"CARRERA 7 No.190-50, Bogota  d.c., Colombia","(4.76784, -74.02753)",4.76784,-74.02753
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO CALLE 190,TERPEL,CARRERA 7 No.190-50,GASOLINA EXTRA OXIGENADA,15420,A,CARRERA 7 No.190-50,"CARRERA 7 No.190-50, Bogota  d.c., Colombia","(4.76784, -74.02753)",4.76784,-74.02753
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO CALLE 190,TERPEL,CARRERA 7 No.190-50,GASOLINA CORRIENTE OXIGENADA,9070,A,CARRERA 7 No.190-50,"CARRERA 7 No.190-50, Bogota  d.c., Colombia","(4.76784, -74.02753)",4.76784,-74.02753
