Periodo,Mes,Codigo_departamento,Departamento,Codigo_municipio,Municipio,Nombre_comercial,Bandera,Direccion,Producto,Precio,Estado,Dir2,Full_Address,Coords,LAT,LNG
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO GREEN EDS CODAVAS,TEXACO,CARRERA 7 No. 181 A - 16,GASOLINA EXTRA OXIGENADA,16770,A,CARRERA 7 No. 181 A - 16,"CARRERA 7 No. 181 A - 16, Bogota  d.c., Colombia","(4.5894, -74.08027)",4.5894,-74.08027
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO SANTA TERESA,TEXACO,Avenida Carrera 9 No. 166-90,GASOLINA EXTRA OXIGENADA,16990,A,Avenida Carrera 9 No. 166-90,"Avenida Carrera 9 No. 166-90, Bogota  d.c., Colombia","(4.74596, -74.03153)",4.74596,-74.03153
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO SANTA TERESA,TEXACO,Avenida Carrera 9 No. 166-90,BIODIESEL EXTRA,9580,A,Avenida Carrera 9 No. 166-90,"Avenida Carrera 9 No. 166-90, Bogota  d.c., Colombia","(4.74596, -74.03153)",4.74596,-74.03153
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO SANTA TERESA,TEXACO,Avenida Carrera 9 No. 166-90,GASOLINA CORRIENTE OXIGENADA,9590,A,Avenida Carrera 9 No. 166-90,"Avenida Carrera 9 No. 166-90, Bogota  d.c., Colombia","(4.74596, -74.03153)",4.74596,-74.03153
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS TERPEL EL DORADO,TERPEL,AVENIDA CALLE 26 No. 113-90,GASOLINA EXTRA OXIGENADA,16180,A,AVENIDA CALLE 26 No. 113-90,"AVENIDA CALLE 26 No. 113-90, Bogota  d.c., Colombia","(4.60591, -74.12534)",4.60591,-74.12534
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS TERPEL EL DORADO,TERPEL,AVENIDA CALLE 26 No. 113-90,GASOLINA CORRIENTE OXIGENADA,8840,A,AVENIDA CALLE 26 No. 113-90,"AVENIDA CALLE 26 No. 113-90, Bogota  d.c., Colombia","(4.60591, -74.12534)",4.60591,-74.12534
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS TERPEL EL DORADO,TERPEL,AVENIDA CALLE 26 No. 113-90,BIODIESEL EXTRA,8830,A,AVENIDA CALLE 26 No. 113-90,"AVENIDA CALLE 26 No. 113-90, Bogota  d.c., Colombia","(4.60591, -74.12534)",4.60591,-74.12534
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO AUTOMOTRIZ SANTANA,MOBIL,CARRERA 7 No. 10-06 SUR,GASOLINA CORRIENTE OXIGENADA,9299,A,CARRERA 7 No. 10-06 SUR,"CARRERA 7 No. 10-06 SUR, Bogota  d.c., Colombia","(4.57989, -74.08683)",4.57989,-74.08683
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO AUTOMOTRIZ SANTANA,MOBIL,CARRERA 7 No. 10-06 SUR,BIODIESEL EXTRA,9649,A,CARRERA 7 No. 10-06 SUR,"CARRERA 7 No. 10-06 SUR, Bogota  d.c., Colombia","(4.57989, -74.08683)",4.57989,-74.08683
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO BOYACA SUR,PETROBRAS,AVENIDA BOYACA No 35-30 SUR,BIODIESEL EXTRA,9152,A,AVENIDA BOYACA No 35-30 SUR,"AVENIDA BOYACA No 35-30 SUR, Bogota  d.c., Colombia","(4.57971, -74.14247)",4.57971,-74.14247
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO BOYACA SUR,PETROBRAS,AVENIDA BOYACA No 35-30 SUR,GASOLINA CORRIENTE OXIGENADA,9372,A,AVENIDA BOYACA No 35-30 SUR,"AVENIDA BOYACA No 35-30 SUR, Bogota  d.c., Colombia","(4.57971, -74.14247)",4.57971,-74.14247
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO SANTA ANA DE BRITALIA,BIOMAX,DIAGONAL 56B SUR No. 85-30,GASOLINA EXTRA OXIGENADA,16375,A,DIAGONAL 56B SUR No. 85-30,"DIAGONAL 56B SUR No. 85-30, Bogota  d.c., Colombia","(4.62082, -74.18337)",4.62082,-74.18337
