Periodo,Mes,Codigo_departamento,Departamento,Codigo_municipio,Municipio,Nombre_comercial,Bandera,Direccion,Producto,Precio,Estado
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO LOS ANGELES MYS,PETROBRAS,AK 72 NO. 39 H-12 SUR,GASOLINA EXTRA OXIGENADA,15716,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS SANTA MARTHA,OCTANO,CALLE 39 B SUR NO. 11-61 ESTE,GASOLINA CORRIENTE OXIGENADA,9200,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS SANTA MARTHA,OCTANO,CALLE 39 B SUR NO. 11-61 ESTE,BIODIESEL EXTRA,9015,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS SANTA MARTHA,OCTANO,CALLE 39 B SUR NO. 11-61 ESTE,GASOLINA CORRIENTE OXIGENADA,9160,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS SANTA MARTHA,OCTANO,CALLE 39 B SUR NO. 11-61 ESTE,BIODIESEL EXTRA,8975,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS BUENOS AIRES,TERPEL,CALLE 1 NO. 2A-51,BIODIESEL EXTRA,8852,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS BUENOS AIRES,TERPEL,CALLE 1 NO. 2A-51,GASOLINA CORRIENTE OXIGENADA,9161,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS BUENOS AIRES,TERPEL,CALLE 1 NO. 2A-51,GASOLINA EXTRA OXIGENADA,16238,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS PORTAL DE SANTA INES,ZEUSS,CALLE 63 No. 97-10,BIODIESEL EXTRA,8690,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS PORTAL DE SANTA INES,ZEUSS,CALLE 63 No. 97-10,GASOLINA CORRIENTE OXIGENADA,9422,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS PETROMIL BAZAR 65,PETROMIL,AV CARRERA 30 No. 64 A 89,GASOLINA CORRIENTE OXIGENADA,9099,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS PETROMIL BAZAR 65,PETROMIL,AV CARRERA 30 No. 64 A 89,BIODIESEL EXTRA,9169,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS PETROMIL BAZAR 65,PETROMIL,AV CARRERA 30 No. 64 A 89,GASOLINA EXTRA OXIGENADA,16499,A
